anime_name,season,episode,link,release_year
Demon Slayer (Kimetsu no Yaiba),1,1,https://t.me/aniscope2026/3,2019
Demon Slayer (Kimetsu no Yaiba),1,2,https://t.me/aniscope2026/4,2019
Demon Slayer (Kimetsu no Yaiba),1,3,https://t.me/aniscope2026/5,2019
Demon Slayer (Kimetsu no Yaiba),1,4,https://t.me/aniscope2026/6,2019
Demon Slayer (Kimetsu no Yaiba),1,5,https://t.me/aniscope2026/7,2019
Demon Slayer (Kimetsu no Yaiba),1,6,https://t.me/aniscope2026/8,2019
Demon Slayer (Kimetsu no Yaiba),1,7,https://t.me/aniscope2026/9,2019
Demon Slayer (Kimetsu no Yaiba),1,8,https://t.me/aniscope2026/10,2019
Demon Slayer (Kimetsu no Yaiba),1,9,https://t.me/aniscope2026/11,2019
Demon Slayer (Kimetsu no Yaiba),1,10,https://t.me/aniscope2026/12,2019
Demon Slayer (Kimetsu no Yaiba),1,11,https://t.me/aniscope2026/13,2019
Demon Slayer (Kimetsu no Yaiba),1,12,https://t.me/aniscope2026/14,2019
Demon Slayer (Kimetsu no Yaiba),1,13,https://t.me/aniscope2026/15,2019
Demon Slayer (Kimetsu no Yaiba),1,14,https://t.me/aniscope2026/16,2019
Demon Slayer (Kimetsu no Yaiba),1,15,https://t.me/aniscope2026/17,2019
Demon Slayer (Kimetsu no Yaiba),1,16,https://t.me/aniscope2026/18,2019
Demon Slayer (Kimetsu no Yaiba),1,17,https://t.me/aniscope2026/19,2019
Demon Slayer (Kimetsu no Yaiba),1,18,https://t.me/aniscope2026/20,2019
Demon Slayer (Kimetsu no Yaiba),1,19,https://t.me/aniscope2026/21,2019
Demon Slayer (Kimetsu no Yaiba),1,20,https://t.me/aniscope2026/22,2019
Demon Slayer (Kimetsu no Yaiba),1,21,https://t.me/aniscope2026/23,2019
Demon Slayer (Kimetsu no Yaiba),1,22,https://t.me/aniscope2026/24,2019
Demon Slayer (Kimetsu no Yaiba),1,23,https://t.me/aniscope2026/25,2019
Demon Slayer (Kimetsu no Yaiba),1,24,https://t.me/aniscope2026/26,2019
Demon Slayer (Kimetsu no Yaiba),1,25,https://t.me/aniscope2026/27,2019
Demon Slayer (Kimetsu no Yaiba),1,26,https://t.me/aniscope2026/28,2019

